timestamp,api_call,latency_ms,status
"2025-09-16T07:30:12.123456","https://charging-stations-api.example.com/chargers/nearby/13.01741/80.174604/10/25",2890,success
"2025-09-16T08:15:45.456789","https://charging-stations-api.example.com/chargers/status/station-006",4120,success
"2025-09-16T09:00:33.789012","https://charging-stations-api.example.com/chargers/book/station-003",6340,success
"2025-09-16T09:45:21.012345","https://charging-stations-api.example.com/chargers/nearby/13.01741/80.174604/10/25",3670,success
"2025-09-16T10:30:55.345678","https://charging-stations-api.example.com/chargers/status/station-007",28900,failure
"2025-09-16T11:15:18.678901","https://charging-stations-api.example.com/chargers/nearby/13.017302/80.175021/10/25",5210,success
"2025-09-16T12:00:42.901234","https://charging-stations-api.example.com/chargers/book/station-008",7850,success
"2025-09-16T12:45:07.234567","https://charging-stations-api.example.com/chargers/status/station-001",3490,success
"2025-09-16T13:30:29.567890","https://charging-stations-api.example.com/chargers/nearby/13.017302/80.175021/10/25",42100,failure
"2025-09-16T14:15:51.890123","https://charging-stations-api.example.com/chargers/nearby/13.017302/80.175021/10/25",4760,success
"2025-09-16T15:00:14.223456","https://charging-stations-api.example.com/chargers/book/station-004",6120,success
"2025-09-16T15:45:36.556789","https://charging-stations-api.example.com/chargers/status/station-009",2340,success
"2025-09-16T16:16:03.675953","https://charging-stations-api.example.com/chargers/nearby/13.01741/80.174604/10/25",8716,success
"2025-09-16T16:19:37.479548","https://charging-stations-api.example.com/chargers/nearby/13.01741/80.174604/10/25",7999,success
"2025-09-16T16:30:59.519890","https://charging-stations-api.example.com/chargers/nearby/13.01741/80.174604/10/25",8948,success
"2025-09-16T16:32:45.875067","https://charging-stations-api.example.com/chargers/nearby/13.01741/80.174604/10/25",10993,success
"2025-09-16T16:36:16.932080","https://charging-stations-api.example.com/chargers/nearby/13.017302/80.175021/10/25",6955,success
"2025-09-16T16:36:41.788882","https://charging-stations-api.example.com/chargers/nearby/13.017302/80.175021/10/25",4091,success
"2025-09-16T17:22:18.112233","https://charging-stations-api.example.com/chargers/book/station-010",9540,success
"2025-09-16T18:05:44.445566","https://charging-stations-api.example.com/chargers/status/station-005",3780,success
"2025-09-16T18:50:29.778899","https://charging-stations-api.example.com/chargers/nearby/13.017242/80.175246/10/25",5210,success
