timestamp,api_call,latency_ms,status
"2025-09-15T08:15:23.120456","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",3250,success
"2025-09-15T08:22:10.456789","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",4120,success
"2025-09-15T09:01:45.789123","https://charging-stations-api.example.com/chargers/nearby/13.020112/80.181254/10/25",2980,success
"2025-09-15T09:30:12.345678","https://charging-stations-api.example.com/chargers/status/station-001",5670,success
"2025-09-15T10:15:30.987654","https://charging-stations-api.example.com/chargers/nearby/13.020112/80.181254/10/25",30250,failure
"2025-09-15T10:18:45.654321","https://charging-stations-api.example.com/chargers/nearby/13.020112/80.181254/10/25",3890,success
"2025-09-15T11:05:22.112233","https://charging-stations-api.example.com/chargers/book/station-002",4560,success
"2025-09-15T11:45:18.445566","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",6780,success
"2025-09-15T12:30:55.778899","https://charging-stations-api.example.com/chargers/status/station-003",2340,success
"2025-09-15T13:12:33.223344","https://charging-stations-api.example.com/chargers/nearby/13.020112/80.181254/10/25",8920,success
"2025-09-15T14:00:10.556677","https://charging-stations-api.example.com/chargers/book/station-001",35400,failure
"2025-09-15T14:35:44.889900","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",4210,success
"2025-09-15T15:20:17.123456","https://charging-stations-api.example.com/chargers/status/station-004",1890,success
"2025-09-15T16:02:40.057164","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",7575,success
"2025-09-15T16:03:10.784079","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",4512,success
"2025-09-15T16:08:59.289937","https://charging-stations-api.example.com/chargers/nearby/13.019718/80.180403/10/25",7986,success
"2025-09-15T16:16:46.233539","https://charging-stations-api.example.com/chargers/nearby/13.020112/80.181254/10/25",7634,success
"2025-09-15T16:19:37.755602","https://charging-stations-api.example.com/chargers/nearby/13.020112/80.181254/10/25",6980,success
"2025-09-15T17:45:22.334455","https://charging-stations-api.example.com/chargers/book/station-005",5540,success
"2025-09-15T18:20:15.667788","https://charging-stations-api.example.com/chargers/status/station-002",3320,success
